id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
1,bulbasaur,bulbasaur,0.7,6.9,45,49,49,65,65,45,grass,poison,False,False
2,ivysaur,ivysaur,1.0,13.0,60,62,63,80,80,60,grass,poison,False,False
3,venusaur,venusaur,2.0,100.0,80,82,83,100,100,80,grass,poison,False,False
4,charmander,charmander,0.6,8.5,39,52,43,60,50,65,fire,,False,False
5,charmeleon,charmeleon,1.1,19.0,58,64,58,80,65,80,fire,,False,False
6,charizard,charizard,1.7,90.5,78,84,78,109,85,100,fire,flying,False,False
7,squirtle,squirtle,0.5,9.0,44,48,65,50,64,43,water,,False,False
8,wartortle,wartortle,1.0,22.5,59,63,80,65,80,58,water,,False,False
9,blastoise,blastoise,1.6,85.5,79,83,100,85,105,78,water,,False,False
10,caterpie,caterpie,0.3,2.9,45,30,35,20,20,45,bug,,False,False
11,metapod,metapod,0.7,9.9,50,20,55,25,25,30,bug,,False,False
12,butterfree,butterfree,1.1,32.0,60,45,50,90,80,70,bug,flying,False,False
13,weedle,weedle,0.3,3.2,40,35,30,20,20,50,bug,poison,False,False
14,kakuna,kakuna,0.6,10.0,45,25,50,25,25,35,bug,poison,False,False
15,beedrill,beedrill,1.0,29.5,65,90,40,45,80,75,bug,poison,False,False
16,pidgey,pidgey,0.3,1.8,40,45,40,35,35,56,normal,flying,False,False
17,pidgeotto,pidgeotto,1.1,30.0,63,60,55,50,50,71,normal,flying,False,False
18,pidgeot,pidgeot,1.5,39.5,83,80,75,70,70,101,normal,flying,False,False
19,rattata,rattata,0.3,3.5,30,56,35,25,35,72,normal,,False,False
20,raticate,raticate,0.7,18.5,55,81,60,50,70,97,normal,,False,False
21,spearow,spearow,0.3,2.0,40,60,30,31,31,70,normal,flying,False,False
22,fearow,fearow,1.2,38.0,65,90,65,61,61,100,normal,flying,False,False
23,ekans,ekans,2.0,6.9,35,60,44,40,54,55,poison,,False,False
24,arbok,arbok,3.5,65.0,60,95,69,65,79,80,poison,,False,False
25,pikachu,pikachu,0.4,6.0,35,55,40,50,50,90,electric,,False,False
26,raichu,raichu,0.8,30.0,60,90,55,90,80,110,electric,,False,False
27,sandshrew,sandshrew,0.6,12.0,50,75,85,20,30,40,ground,,False,False
28,sandslash,sandslash,1.0,29.5,75,100,110,45,55,65,ground,,False,False
29,nidoran-f,nidoran-f,0.4,7.0,55,47,52,40,40,41,poison,,False,False
30,nidorina,nidorina,0.8,20.0,70,62,67,55,55,56,poison,,False,False
31,nidoqueen,nidoqueen,1.3,60.0,90,92,87,75,85,76,poison,ground,False,False
32,nidoran-m,nidoran-m,0.5,9.0,46,57,40,40,40,50,poison,,False,False
33,nidorino,nidorino,0.9,19.5,61,72,57,55,55,65,poison,,False,False
34,nidoking,nidoking,1.4,62.0,81,102,77,85,75,85,poison,ground,False,False
