id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
560,scrafty,scrafty,1.1,30.0,65,90,115,45,115,58,dark,fighting,False,False
561,sigilyph,sigilyph,1.4,14.0,72,58,80,103,80,97,psychic,flying,False,False
562,yamask,yamask,0.5,1.5,38,30,85,55,65,30,ghost,,False,False
563,cofagrigus,cofagrigus,1.7,76.5,58,50,145,95,105,30,ghost,,False,False
564,tirtouga,tirtouga,0.7,16.5,54,78,103,53,45,22,water,rock,False,False
565,carracosta,carracosta,1.2,81.0,74,108,133,83,65,32,water,rock,False,False
566,archen,archen,0.5,9.5,55,112,45,74,45,70,rock,flying,False,False
567,archeops,archeops,1.4,32.0,75,140,65,112,65,110,rock,flying,False,False
568,trubbish,trubbish,0.6,31.0,50,50,62,40,62,65,poison,,False,False
569,garbodor,garbodor,1.9,107.3,80,95,82,60,82,75,poison,,False,False
570,zorua,zorua,0.7,12.5,40,65,40,80,40,65,dark,,False,False
571,zoroark,zoroark,1.6,81.1,60,105,60,120,60,105,dark,,False,False
572,minccino,minccino,0.4,5.8,55,50,40,40,40,75,normal,,False,False
573,cinccino,cinccino,0.5,7.5,75,95,60,65,60,115,normal,,False,False
574,gothita,gothita,0.4,5.8,45,30,50,55,65,45,psychic,,False,False
575,gothorita,gothorita,0.7,18.0,60,45,70,75,85,55,psychic,,False,False
576,gothitelle,gothitelle,1.5,44.0,70,55,95,95,110,65,psychic,,False,False
577,solosis,solosis,0.3,1.0,45,30,40,105,50,20,psychic,,False,False
578,duosion,duosion,0.6,8.0,65,40,50,125,60,30,psychic,,False,False
579,reuniclus,reuniclus,1.0,20.1,110,65,75,125,85,30,psychic,,False,False
580,ducklett,ducklett,0.5,5.5,62,44,50,44,50,55,water,flying,False,False
581,swanna,swanna,1.3,24.2,75,87,63,87,63,98,water,flying,False,False
582,vanillite,vanillite,0.4,5.7,36,50,50,65,60,44,ice,,False,False
583,vanillish,vanillish,1.1,41.0,51,65,65,80,75,59,ice,,False,False
584,vanilluxe,vanilluxe,1.3,57.5,71,95,85,110,95,79,ice,,False,False
585,deerling,deerling,0.6,19.5,60,60,50,40,50,75,normal,grass,False,False
586,sawsbuck,sawsbuck,1.9,92.5,80,100,70,60,70,95,normal,grass,False,False
587,emolga,emolga,0.4,5.0,55,75,60,75,60,103,electric,flying,False,False
588,karrablast,karrablast,0.5,5.9,50,75,45,40,45,60,bug,,False,False
589,escavalier,escavalier,1.0,33.0,70,135,105,60,105,20,bug,steel,False,False
590,foongus,foongus,0.2,1.0,69,55,45,55,55,15,grass,poison,False,False
591,amoonguss,amoonguss,0.6,10.5,114,85,70,85,80,30,grass,poison,False,False
592,frillish,frillish,1.2,33.0,55,40,50,65,85,40,water,ghost,False,False
593,jellicent,jellicent,2.2,135.0,100,60,70,85,105,60,water,ghost,False,False
594,alomomola,alomomola,1.2,31.6,165,75,80,40,45,65,water,,False,False
595,joltik,joltik,0.1,0.6,50,47,50,57,50,65,bug,electric,False,False
596,galvantula,galvantula,0.8,14.3,70,77,60,97,60,108,bug,electric,False,False
597,ferroseed,ferroseed,0.6,18.8,44,50,91,24,86,10,grass,steel,False,False
598,ferrothorn,ferrothorn,1.0,110.0,74,94,131,54,116,20,grass,steel,False,False
599,klink,klink,0.3,21.0,40,55,70,45,60,30,steel,,False,False
600,klang,klang,0.6,51.0,60,80,95,70,85,50,steel,,False,False
601,klinklang,klinklang,0.6,81.0,60,100,115,70,85,90,steel,,False,False
602,tynamo,tynamo,0.2,0.3,35,55,40,45,40,60,electric,,False,False
603,eelektrik,eelektrik,1.2,22.0,65,85,70,75,70,40,electric,,False,False
604,eelektross,eelektross,2.1,80.5,85,115,80,105,80,50,electric,,False,False
605,elgyem,elgyem,0.5,9.0,55,55,55,85,55,30,psychic,,False,False
606,beheeyem,beheeyem,1.0,34.5,75,75,75,125,95,40,psychic,,False,False
607,litwick,litwick,0.3,3.1,50,30,55,65,55,20,ghost,fire,False,False
608,lampent,lampent,0.6,13.0,60,40,60,95,60,55,ghost,fire,False,False
609,chandelure,chandelure,1.0,34.3,60,55,90,145,90,80,ghost,fire,False,False
610,axew,axew,0.6,18.0,46,87,60,30,40,57,dragon,,False,False
611,fraxure,fraxure,1.0,36.0,66,117,70,40,50,67,dragon,,False,False
612,haxorus,haxorus,1.8,105.5,76,147,90,60,70,97,dragon,,False,False
613,cubchoo,cubchoo,0.5,8.5,55,70,40,60,40,40,ice,,False,False
614,beartic,beartic,2.6,260.0,95,130,80,70,80,50,ice,,False,False
